time,path,H
2024-03-13 18:30:00,/Volumes/Argus/unk/snap/c1/1710354600.c1.snap.jpg,0.59851825
2024-03-13 19:00:00,/Volumes/Argus/unk/snap/c1/1710356400.c1.snap.jpg,0.851629
2024-03-13 19:30:00,/Volumes/Argus/unk/snap/c1/1710358200.c1.snap.jpg,0.7348717
2024-03-13 20:00:00,/Volumes/Argus/unk/snap/c1/1710360000.c1.snap.jpg,0.72736716
2024-03-13 20:30:00,/Volumes/Argus/unk/snap/c1/1710361800.c1.snap.jpg,0.557609
2024-03-13 21:00:00,/Volumes/Argus/unk/snap/c1/1710363600.c1.snap.jpg,0.60623145
2024-03-13 21:30:00,/Volumes/Argus/unk/snap/c1/1710365400.c1.snap.jpg,0.5772841
2024-03-13 22:00:00,/Volumes/Argus/unk/snap/c1/1710367200.c1.snap.jpg,0.6752635
2024-03-13 22:30:00,/Volumes/Argus/unk/snap/c1/1710369000.c1.snap.jpg,0.6308762
2024-03-13 23:00:00,/Volumes/Argus/unk/snap/c1/1710370800.c1.snap.jpg,0.59650934
2024-03-13 23:30:00,/Volumes/Argus/unk/snap/c1/1710372600.c1.snap.jpg,0.59861505
2024-03-14 00:00:00,/Volumes/Argus/unk/snap/c1/1710374400.c1.snap.jpg,0.5214281
2024-03-14 00:30:00,/Volumes/Argus/unk/snap/c1/1710376200.c1.snap.jpg,0.5777134
2024-03-14 01:00:00,/Volumes/Argus/unk/snap/c1/1710378000.c1.snap.jpg,0.64352185
2024-03-14 03:00:00,/Volumes/Argus/unk/snap/c1/1710385200.c1.snap.jpg,0.7056067
2024-03-14 04:30:00,/Volumes/Argus/unk/snap/c1/1710390600.c1.snap.jpg,0.78537846
2024-03-14 05:00:00,/Volumes/Argus/unk/snap/c1/1710392400.c1.snap.jpg,0.941439
2024-03-14 16:30:00,/Volumes/Argus/unk/snap/c1/1710433800.c1.snap.jpg,0.57654494
2024-03-14 17:00:00,/Volumes/Argus/unk/snap/c1/1710435600.c1.snap.jpg,0.62499523
2024-03-14 17:30:00,/Volumes/Argus/unk/snap/c1/1710437400.c1.snap.jpg,0.46204713
2024-03-14 18:00:00,/Volumes/Argus/unk/snap/c1/1710439200.c1.snap.jpg,0.47686374
2024-03-14 18:30:00,/Volumes/Argus/unk/snap/c1/1710441000.c1.snap.jpg,0.50333333
2024-03-14 19:00:00,/Volumes/Argus/unk/snap/c1/1710442800.c1.snap.jpg,0.47095585
2024-03-14 19:30:00,/Volumes/Argus/unk/snap/c1/1710444600.c1.snap.jpg,0.48968968
2024-03-14 20:00:00,/Volumes/Argus/unk/snap/c1/1710446400.c1.snap.jpg,0.6409389
2024-03-14 20:30:00,/Volumes/Argus/unk/snap/c1/1710448200.c1.snap.jpg,0.6303433
2024-03-14 21:00:00,/Volumes/Argus/unk/snap/c1/1710450000.c1.snap.jpg,0.5993589
2024-03-14 22:00:00,/Volumes/Argus/unk/snap/c1/1710453600.c1.snap.jpg,0.6632115
2024-03-14 23:00:00,/Volumes/Argus/unk/snap/c1/1710457200.c1.snap.jpg,0.6340269
2024-03-14 23:30:00,/Volumes/Argus/unk/snap/c1/1710459000.c1.snap.jpg,0.5402092
2024-03-15 00:00:00,/Volumes/Argus/unk/snap/c1/1710460800.c1.snap.jpg,0.5460288
2024-03-15 00:30:00,/Volumes/Argus/unk/snap/c1/1710462600.c1.snap.jpg,0.60153395
2024-03-15 01:00:00,/Volumes/Argus/unk/snap/c1/1710464400.c1.snap.jpg,0.6671479
2024-03-15 01:30:00,/Volumes/Argus/unk/snap/c1/1710466200.c1.snap.jpg,0.6889571
2024-03-15 02:00:00,/Volumes/Argus/unk/snap/c1/1710468000.c1.snap.jpg,0.70611787
2024-03-15 02:30:00,/Volumes/Argus/unk/snap/c1/1710469800.c1.snap.jpg,0.70208794
2024-03-15 03:00:00,/Volumes/Argus/unk/snap/c1/1710471600.c1.snap.jpg,0.7161028
